#nombreClase,descripcionClase,claseAgrupa,ignorarEnComparacion,cambiarAreaY,cambiarAreaX
actualizacionLogica_flecha,Flecha de Actualizacion Logica,12,0,0,1
archivoDefinitivo,Archivo Definitivo,22,0,0,0
archivoTransitorio,Archivo Transitorio,22,0,0,0
conector_comienzoCorte,Conector de Comienzo de Corte,22,0,0,0
conector_reanudacionCorte,Conector de Reanudacion de Corte,22,0,0,0
consultaLogica_flecha,Flecha de Consulta Lógica,12,0,0,1
control,Control,22,0,0,0
decision,Decisión,31,0,1,0
demora,Demora,22,0,0,0
destruccion,Destrucción,22,0,0,0
documento,Documento,21,0,0,0
documentoElectronico,Documento Electrónico,21,0,0,0
operacion,Operación,22,0,0,0
proceso,Proceso,22,0,0,0
procesoNoRelevado,Proceso No Relevado,22,0,0,0
temporalidad,Temporalidad,32,0,1,0
trasladoDeInformacion_horizontal,Translado de Información,12,1,0,1
trasladoDeInformacion_vertical,Translado de Información,11,1,0,0
